代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
002034,旺能环境,15.34,-0.84,-0.13,0.00,0.48,1.02,1.62,3127.35万,4.24亿,65.05亿,9.57
002096,易普力,12.96,-0.84,-0.11,0.00,4.58,1.38,6.43,2.98亿,4.88亿,63.30亿,23.00
600987,航民股份,6.90,-0.86,-0.06,0.44,1.13,0.90,2.01,8018.05万,10.21亿,70.44亿,11.11
600328,中盐化工,8.04,-0.86,-0.07,0.13,0.95,1.07,1.85,1.12亿,14.61亿,117.45亿,15.46
600276,恒瑞医药,45.85,-0.86,-0.40,0.02,0.57,1.30,1.77,16.61亿,63.79亿,2924.77亿,47.48
000997,新 大 陆,20.56,-0.87,-0.18,-0.05,1.61,0.82,3.18,3.45亿,10.26亿,211.02亿,19.44
300776,帝尔激光,65.01,-0.87,-0.57,0.00,1.89,0.81,3.13,2.07亿,1.67亿,108.65亿,34.72
688196,卓越新能,34.20,-0.87,-0.30,0.15,2.17,1.36,8.84,9140.31万,1.20亿,41.04亿,33.33
002237,恒邦股份,10.25,-0.87,-0.09,0.00,0.85,0.91,1.55,7948.84万,9.10亿,93.32亿,19.00
301578,辰奕智能,55.80,-0.87,-0.49,0.14,10.25,1.29,4.41,9089.04万,1560.00万,8.70亿,79.75
688425,铁建重工,4.52,-0.88,-0.04,0.22,1.78,1.02,1.97,1.19亿,14.78亿,66.80亿,17.56
688778,厦钨新能,48.60,-0.88,-0.43,-0.02,0.54,0.80,2.39,1.11亿,4.21亿,204.49亿,41.73
605368,蓝天燃气,11.21,-0.88,-0.10,-0.09,0.99,0.81,1.24,7440.94万,6.65亿,74.51亿,13.21
000709,河钢股份,2.24,-0.89,-0.02,0.00,0.74,0.84,1.77,1.72亿,103.35亿,231.51亿,30.54
600517,国网英大,5.58,-0.89,-0.05,-0.18,0.30,1.07,2.13,9620.39万,57.18亿,319.09亿,16.48
002179,中航光电,38.75,-0.90,-0.35,0.05,0.49,0.95,2.12,3.97亿,20.64亿,799.69亿,24.51
000989,ST九芝,7.74,-0.90,-0.07,0.13,1.42,1.11,2.18,7662.99万,6.94亿,53.73亿,20.68
600720,中交设计,8.83,-0.90,-0.08,0.00,0.80,0.77,1.68,5481.24万,7.76亿,68.54亿,15.50
600755,厦门国贸,6.57,-0.91,-0.06,0.00,0.98,0.80,2.11,1.39亿,21.32亿,140.08亿,15.00
600621,华鑫股份,16.27,-0.91,-0.15,-0.18,4.71,1.64,2.86,8.10亿,10.61亿,172.61亿,42.60
688599,天合光能,21.60,-0.92,-0.20,0.00,0.78,1.17,2.52,3.71亿,21.79亿,470.74亿,亏损
000928,中钢国际,6.45,-0.92,-0.06,0.00,1.58,1.04,2.30,1.48亿,14.35亿,92.53亿,10.84
601163,三角轮胎,15.01,-0.92,-0.14,0.00,0.49,0.90,1.78,5963.37万,8.00亿,120.08亿,10.19
000166,申万宏源,5.36,-0.92,-0.05,-0.37,0.31,0.95,2.03,3.83亿,225.36亿,1207.90亿,26.15
600998,九州通,5.34,-0.93,-0.05,0.00,0.59,1.24,1.85,1.60亿,50.42亿,269.27亿,11.91
837592,华信永道,64.02,-0.93,-0.60,0.00,4.83,0.72,5.97,1.20亿,3818.12万,24.44亿,亏损
003012,东鹏控股,6.39,-0.93,-0.06,0.00,0.83,0.68,3.41,6212.21万,11.61亿,74.18亿,18.22
600897,厦门空港,14.86,-0.93,-0.14,0.00,0.66,0.47,2.00,4076.95万,4.17亿,61.96亿,12.52
600017,日照港,3.18,-0.94,-0.03,0.00,1.02,1.00,1.56,1.00亿,30.76亿,97.81亿,11.55
600967,内蒙一机,8.45,-0.94,-0.08,0.00,1.61,1.09,3.28,2.35亿,16.99亿,143.56亿,29.65
002936,郑州银行,2.11,-0.94,-0.02,-0.47,2.79,1.16,2.35,3.97亿,67.01亿,141.38亿,6.41
688127,蓝特光学,26.35,-0.94,-0.25,-0.19,3.91,1.73,5.64,4.25亿,4.03亿,106.24亿,49.31
300596,利安隆,28.39,-0.94,-0.27,0.14,2.30,2.07,5.86,1.50亿,2.25亿,63.79亿,15.57
603010,万盛股份,10.49,-0.94,-0.10,-0.10,1.44,2.08,5.48,7477.66万,4.85亿,50.91亿,39.03
600958,东方证券,10.45,-0.95,-0.10,0.00,0.51,0.90,1.99,3.99亿,74.69亿,780.56亿,20.17
603162,海通发展,9.35,-0.95,-0.09,-0.21,1.91,1.43,2.86,4949.46万,2.73亿,25.53亿,15.66
