岗位名称,公司名称,公司规模,工作地区,学历要求,工作经验,薪资,联系电话,工作地点,全职/兼职,岗位描述
市场策划,广东溢星空研学教育文化发展有限公司,50-99人,广东省东莞市莞城街道办事处,大学专科,1年以下,4000-9000元/月,159****4647,东莞市莞城街道市桥西正路3号138室,全职,1、负责跟踪、研究与公司相关的宏观环境动态、行业状况、需求变化及市场竞争格局，收集市场信息并进行分析调研。2、撰写品牌策略、推广传播方案及大型活动策划方案。3、根据公司推广计划开展户外地推活动和宣传工作，广泛宣传和推广公司课程。
课程顾问（销售）,广东溢星空研学教育文化发展有限公司,50-99人,广东省东莞市莞城街道办事处,大学专科,1年以下,5000-8000元/月,159****4647,东莞市莞城街道市桥西正路3号138室,全职,"1、电话预约公开体验课程，保持与现有学员的良好沟通与联系，家长群维护管理及跟进服务，追踪维护好家长的问题反馈及需求;2、整理学生上课档案；3、管理家长微信群，及时回复到家长的微信，4、持续跟进公司潜在客户,提供优质的服务理念。"
科学老师,广东溢星空研学教育文化发展有限公司,50-99人,广东省东莞市莞城街道办事处,大学本科,1年以下,6000-12000元/月,159****4647,东莞市莞城街道市桥西正路3号138室,全职,师范相关专业，持有教师资格证和有海外留学经验者优先
店长,东莞学王书房文化投资有限公司,,广东省东莞市莞城街道办事处,大学本科,1-3年,7000-15000元/月,,东莞莞城街道东正路30号,全职,1.本科学历，有2年以上教育培训机构综合管理经验者优先。2. 具备责任感与使命感，目标意识强，结果导向。3. 具备良好的沟通能力和团队合作精神，能够有效处理各种日常工作中遇到的各种问题和压力。4. 具备较高的管理和领导力，善于挖掘人才、培养人才，调动员工工作积极性和创意，从而提高门店的服务质量和整体口碑。
初高中文科/理科老师,东莞学王书房文化投资有限公司,,广东省东莞市莞城街道办事处,大学本科,1-3年,6000-10000元/月,,东莞莞城街道东正路30号,全职,本科以上学历，有1-3年初高中学校教育或培训机构学科教学经验（应届生有合适的也可放宽经验要求）。有初高中理科教学经验者优先
餐厅服务员,东莞金拱门食品有限公司,1000-9999人,广东省东莞市莞城街道办事处,中等专科,无工作经验要求,3000-4000元/月,136****8772,东莞各镇街门店,全职,有志于服务行业，能吃苦，具有良好的顾客服务意识，能适应早晚轮班工作及快节奏的工作方式
阿里巴巴网商银行客服,广东朝阳全网通科技有限公司,1000-9999人,广东省东莞市莞城街道办事处,大学专科,无工作经验要求,6000-8000元/月,135****2397,东莞市莞城区旗峰路168号金峰堡二楼整层,全职,岗位内容：1、开展阿里金融快速贷以及信用贷，帮助客户解决资金贷款问题。2、客户资源由公司统一下发，无需自己寻找客户。3、向客户介绍阿里金融贷款业务（快速贷，信用贷），锁定目标客户，为企业客户解决资金贷款问题。
阿里巴巴续费客服,广东朝阳全网通科技有限公司,1000-9999人,广东省东莞市莞城街道办事处,大学专科,无工作经验要求,8000-15000元/月,135****2397,东莞市莞城区旗峰路168号金峰堡二楼整层,全职,岗位内容：负责阿里巴巴诚信通老客户回访，跟进服务与到期会员续费工作;具备敏锐的揣摩客户心理能力，善于发现客户需求，并能及时打消客户心理顾虑的能力;具备基本一定社会阅历和交际能力，做事有计划，执行力强。
阿里巴巴大客户代表,广东朝阳全网通科技有限公司,1000-9999人,广东省东莞市莞城街道办事处,大学专科,无工作经验要求,8000-20000元/月,135****2397,东莞市莞城区旗峰路168号金峰堡二楼整层,全职,岗位内容：1、通过上门、电话、会销的方式向东莞区域中小企业提供阿里巴巴本地化服务，包括阿里巴巴中文站产品、增值服务类产品及服务包；2、在团队经理的帮助和指导下，完成业务指标及岗位工作要求（客户开拓、客户拜访）；3、挖掘客户营销需求，解决客户异议，提供专业电商解决方案。
增值客服专员,广东朝阳企讯通科技有限公司,,广东省东莞市莞城街道办事处,大学专科,无工作经验要求,4000-8000元/月,136****8002,东莞市莞城区旗峰路168号金峰堡二楼整层,全职,1.通过电话、企业微信等与已合作客户进行有效沟通，提供售后服务；2.维护老客户的业务，挖掘客户的最大潜力，进行增值业务推荐及续约；3.定期与合作客户进行沟通，建立良好的长期合作关系。
网络营销顾问,广东朝阳企讯通科技有限公司,,广东省东莞市莞城街道办事处,大学专科,无工作经验要求,6000-12000元/月,136****8002,东莞市莞城区旗峰路168号金峰堡二楼整层,全职,1. 根据公司提供的客户资源，通过电话或微信联系客户了解客户需求，跟客户介绍公司产品信息；2. 针对意向客户进行邀约，做好客户关系维护与跟进工作；3. 商务洽谈（外勤为团队协作方式）。
车间班长,福寿汽车零部件（东莞）有限公司,100-299人,广东省东莞市莞城街道办事处,初中,无工作经验要求,7000-8000元/月,188****5181,东莞市东部工业园莞城园区江南大道东,全职,能吃苦耐劳，适应两班倒
汽车测量员,福寿汽车零部件（东莞）有限公司,100-299人,广东省东莞市莞城街道办事处,初中,无工作经验要求,6000-7500元/月,188****5181,东莞市东部工业园莞城园区江南大道东,全职,能吃苦耐劳，适应两班倒
汽车技术工,福寿汽车零部件（东莞）有限公司,100-299人,广东省东莞市莞城街道办事处,初中,无工作经验要求,6000-7500元/月,188****5181,东莞市东部工业园莞城园区江南大道东,全职,能吃苦耐劳，适应两班倒
零部件普工,福寿汽车零部件（东莞）有限公司,100-299人,广东省东莞市莞城街道办事处,初中,无工作经验要求,5000-6000元/月,188****5181,东莞市东部工业园莞城园区江南大道东,全职,能吃苦耐劳，适应两班倒
品质管理员,东莞市立德达光电科技有限公司,500-999人,广东省东莞市莞城街道办事处,中等专科,无工作经验要求,5000-8000元/月,137****3137,东莞市莞龙路段狮龙路77号莞城科技园,全职,认真做好巡检、首件确认工作，并做好数据记录；根据作业指导书、检验标准、厂标、国标、行业标准和客户要求进行检验
生产操作员,东莞市立德达光电科技有限公司,500-999人,广东省东莞市莞城街道办事处,中等专科,无工作经验要求,5000-8000元/月,137****3137,东莞市莞龙路段狮龙路77号莞城科技园,全职,根据生产领班的安排操作机台；根据生产任务安排表，达成相应的生产任务等
业务经理,广东玉兰集团股份有限公司,,广东省东莞市莞城街道办事处,大学专科,1年以下,6000-10000元/月,,东莞市莞龙路段狮龙路77号莞城科技园,全职,"1、根据销售目标，落实销售计划，实现年度销售任务；
2、负责工程项目的开发、管理等。
3、负责经销商的维护及开发管理
4、收集市场信息"
ERP专员兼网管,东莞派克密封件有限公司,500-999人,广东省东莞市莞城街道办事处,大学专科,1-3年,8000-13000元/月,076****6411,东莞市莞龙路段狮龙路77号莞城科技园,全职,大专或以上学历，有三年或以上ERP实施项目工作经验，熟练工厂门禁和监控设备系统的安装和维护，精通邮件服务器相关设置和维护，熟悉防火墙和杀毒软件等应用程序。（此岗位试用期在东莞，转正后公司有规划去越南驻厂出差两年2年做新项目）。包吃住，享五险一金
外观经验,东莞派克密封件有限公司,500-999人,广东省东莞市莞城街道办事处,无学历要求,无工作经验要求,4200-5000元/月,076****6411,东莞市莞龙路段狮龙路77号莞城科技园,全职,生熟手均可，有良好的沟通能力和表达能力
品管员/QC,东莞派克密封件有限公司,500-999人,广东省东莞市莞城街道办事处,初中,无工作经验要求,4800-6200元/月,076****6411,东莞市莞龙路段狮龙路77号莞城科技园,全职,生熟手均可，有良好的沟通能力和表达能力
班长,东莞派克密封件有限公司,500-999人,广东省东莞市莞城街道办事处,无学历要求,无工作经验要求,5000-6200元/月,076****6411,东莞市莞龙路段狮龙路77号莞城科技园,全职,初中或以上学历，两年以上生产，一线管理工作经验，能独立管理团队；对生产线流程熟悉，自身抗压力强。
销售管培生,维布络安舍（广东）日用品有限公司,,广东省东莞市莞城街道办事处,大学专科,无工作经验要求,4000-6000元/月,076****6111,东莞市莞龙路段狮龙路77号莞城科技园,全职,1.大专及以上应届生，2026届市场营销、英语专业优先；2.具备较强的沟通协调力、团队管理能力、计划执行力，抗压能力强。工作地点：广州/东莞。
市场管培生,维布络安舍（广东）日用品有限公司,,广东省东莞市莞城街道办事处,大学专科,无工作经验要求,5000-7000元/月,076****6111,东莞市莞龙路段狮龙路77号莞城科技园,全职,1.市场营销或英语专业；2.了解新媒体平台，有相关平台运营实习或推广文章发布经验优先；3.对快消行业市场工作有初步了解，并意向往此发展
配料工,维布络安舍（广东）日用品有限公司,,广东省东莞市莞城街道办事处,无学历要求,无工作经验要求,5000-6500元/月,076****6111,东莞市莞龙路段狮龙路77号莞城科技园,全职,1.能够准确测量和记录数据。2.能够遵守相关操作规程。3.具备团队合作精神，能够在多任务环境中有效沟通协作。4.能够适应轮班制度，包括夜班和周末工作。5.不限工作经验，公司将提供必要的培训和支持。
洗衣粉投料工,维布络安舍（广东）日用品有限公司,,广东省东莞市莞城街道办事处,无学历要求,无工作经验要求,4000-5500元/月,076****6111,东莞市莞龙路段狮龙路77号莞城科技园,全职,1.能够适应工厂的工作环境。2.具备良好的团队协作精神和沟通能力。3. 工作认真负责，具备一定的观察力和判断力。4.有相关工作经验者优先考虑，但本岗位不限制工作经验，愿意学习者亦可申请。
灌装机操作员,维布络安舍（广东）日用品有限公司,,广东省东莞市莞城街道办事处,无学历要求,1年以下,4000-5500元/月,076****6111,东莞市莞龙路段狮龙路77号莞城科技园,全职,"工作职责
1.准确及时按计划完成任务，遵守劳动纪律；
2.做好产品重量等相关质量记录；
3.保持有效地工作效率，按照标准作业；
4.严格遵守车间卫生要求，做好区域内的卫生工作；
5.遵守安全规章制度，严格执行安全操作规程；
6.每天检查使用设备的安全状况，保证设备安全生产；
7.有问题及时向上级报告。
工作权限
1.对生产过程中出现的质量问题、安全事故及设备隐患及时呈报上级处理；
2.对区域内产品质量负责。

"
叉车工,维布络安舍（广东）日用品有限公司,,广东省东莞市莞城街道办事处,无学历要求,1-3年,5000-6500元/月,076****6111,东莞市莞龙路段狮龙路77号莞城科技园,全职,"岗位职责：1.操作叉车将产线产品转移到新仓库并上架（入库）；
2.操作叉车移库；
3.操作PDA进行系统仓位转移；
4.根据拣货单进行备货；
5.出货核对检验；
任职要求：
1.持有效叉车证并有1年以上操作叉车经验(熟练工)；
2.有仓库工作经验并略懂电脑操作，比如打字，表格制作
"
非标自动化机械工程师,港捷实业(东莞）有限公司,300-499人,广东省东莞市莞城街道办事处,大学专科,1-3年,13000-16000元/月,137****2815,东莞市莞城街道狮龙路77号12号楼2单元,全职,有相关经验即可
装配车间工人,港捷实业(东莞）有限公司,300-499人,广东省东莞市莞城街道办事处,无学历要求,无工作经验要求,4700-7000元/月,137****2815,东莞市莞城街道狮龙路77号12号楼2单元,全职,能吃苦耐劳
产品工程师.,广州中新延锋彼欧汽车外饰系统有限公司,100-299人,广东省广州市番禺区,大学本科,无工作经验要求,15-25万元/年,181****2490,广州市番禺区石楼镇金轩三路691号101房,全职,"（有华望客户对接经验优先考虑）1.主导新业务项目前期工程报价，消化产品图纸、数据及实样，编制产品报价BOM、工艺流程、工装设备模具清单等资料；
2.承担项目前期产品结构设计的制造工艺可行性分析，输出评审及可行性报告，并根据评审结果跟踪产品数据的优化改进；
3.组织原材料、油漆、模/检具、工装设备等各阶段技术可行性评审及认可，签订技术协议，并跟踪设备、工装模具的制造 过程，会同有相关部门参与完成模/检具、工装设备等验收和安装调试；
4.组织新产品试制、工艺调试和工艺验证、各阶段工程评审，实施和跟踪工程更改，按客户的认可流程进行产品认可，支 持内部工厂投产准备，并主导编制批产前的相关技术文件，QAD代码申请、新产品试制时的物料申请等；
5.经验教训总结和专项工艺技术总结分享；
6.支持新项目SOP后6个月内的工程问题解决；"
信息通信业务员,江门帅科传媒科技有限公司,49人及以下,广东省江门市蓬江区,大学专科,无工作经验要求,4000-10000元/月,135****4949,群华路37号5栋301室,全职,娱乐主播，形象佳，说话风趣或者亲和，愿意展现自己，若形体不好才艺出色也可，只要你有才艺爱好直播，其他都不是事儿，能聊天能互动，调动大家情绪，有独立的表现能力。
中式烹调师,广州市云海国际货运代理有限公司,49人及以下,广东省广州市增城区,无学历要求,无工作经验要求,2500-9000元/月,192****3638,广东省广州市增城区仙村镇,实习,负责中餐，晚餐
抖音穿搭博主,广州市秀场文化传媒有限公司,50-99人,广东省广州市白云区,无学历要求,无工作经验要求,5000-8000元/月,150****9143,广州市白云区永平街丛云路982号金癸商务大厦3a88,全职,"岗位职责:
1.参与短视频的拍摄工作，展现出色的形象和风格。
2.与团队合作，完成短视频拍摄任务。
3.根据项目需求，进行适当的表情和动作表现。
4.保持良好的职业形象，遵守拍摄现场的规章制度。

任职要求：
1.具备良好的审美和时尚感，能够驾驭多种拍摄风格。
2.性格开朗，善于沟通，喜欢与人互动。
3.有较强的时间观念，能够准时完成拍摄任务。
4.对短视频拍摄有一定的了解，能够快速适应拍摄环境。"
dj主播边学边赚,广州市秀场文化传媒有限公司,50-99人,广东省广州市白云区,无学历要求,无工作经验要求,6000-10000元/月,150****9143,广州市白云区永平街丛云路982号金癸商务大厦3a88,全职,"岗位介绍：
1.负责每天的直播内容输出，接受小白，公司免费培训。
2.无任何费用，也不涉及任何违约金，有保底工资。
3.广州第一家垂直类主播赛道，人性化管理，普通人也有发展机会。
4.标准颜值即可，善于表现和与人沟通尤佳，对发展空间和收入目标有一定的追求，努力上进。

全职·兼职
薪资待遇
自由选择班次,一天直播6小时
有无经验均可,有专业运营为您量身进行直播策划一对一指导具有专业的才艺培训老师
公司一切以主播艺人为中心,精心辅助您成为平台优秀的主播网红达人普通颜值均可,美颜、灯光、化妆三重加持。
热爱自媒体事业,工作态度积极主动,具备良好的敬业精神和职业操守。
保底5000-10000
欢迎有能力、有梦想的主播艺人加入我们，实现自我价值和梦想"
管培生,汕头保税区松田电子科技有限公司,500-999人,广东省汕头市濠江区,大学专科,1年以下,4500-5500元/月,,汕头保税区松田科技园东园、西园,全职,"1.熟悉电脑办公软件操作；
2.有进取心和责任心，工作认真负责和细心，有一定的抗压能力；
3.思维敏捷，有良好的数据分析能力。"
销售文员,广东英冠薄膜科技有限公司,50-99人,广东省佛山市顺德区,无学历要求,无工作经验要求,4500-5000元/月,139****0381,佛山市顺德区大良街道办事处五沙社区居民委员会新辉路2号之一,全职,"岗位职责：下单至生产，跟进至约车出货，整理、汇总销售数据、档案资料；
岗位要求：有跟单经验优先。"
生产班长,广东英冠薄膜科技有限公司,50-99人,广东省佛山市顺德区,无学历要求,3-5年,6000-15000元/月,139****0381,大良街道五沙工业园新辉路2号,全职,"岗位职责：
1、下达生产任务到各机长，提高(员工）生产效率，并监督完成每天下达生产任务；
2、按产品质量及工艺要求生产，并优化各生产工序，控制（减少）损耗；
3、监督员工按章办事，不能违规操作；
4、维护生产设备、设施，每天做好点检，6S管理；
5、其它领导安排事情。

岗位要求：
熟练操作真空镀铝机、分切机，有3年或以上班长工作经验。"
销售经理,广东英冠薄膜科技有限公司,50-99人,广东省佛山市顺德区,无学历要求,3-5年,6000-15000元/月,139****0381,佛山市顺德区大良街道办事处五沙社区居民委员会新辉路2号之一,全职,"岗位职责：完成销售计划及销售回款任务；负责定期或不定期拜访客户，与客户、同行业间建立良好的合作关系；负责协助处理公司投诉结果，并进行客户满意度调查；完成领导交办的其它事项；
岗位要求：有包装行业经验优先，工资具体面议。"
佛山顺德 新店开业 小象超市驻店外卖配送员-免费提供外卖电动车-免费提供住宿,海耀星途（广州）互联网科技有限公司,49人及以下,广东省佛山市顺德区,无学历要求,无工作经验要求,9000-13000元/月,157****9989,佛山顺德大良,全职,"超市驻店配送员岗位-免费提供外卖电动车-免费提供宿舍
1.只送一个门店的订单，取货只在一个地方2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单
3.全是顺路单，配送范围小，两公里内的社区骑手
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全
勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押-无任何租金)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州所有区域均有站点，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送
员，骑手，生鲜配送，水果配送，商超配送蔬菜面
送，固定位置取货配送，上手简单，有老骑手带"
中山西区-小象超市驻店配送员-包住+免费提供外卖电动车,海耀星途（广州）互联网科技有限公司,49人及以下,广东省中山市西区街道办事处,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省中山市富华道金嘉创新港1层105卡,全职,"1.只送一个门店的订单，取货只在一个地方。
2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单。
3.全是顺路单，配送范围小，两公里内的社区骑手。
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州-佛山-中山所有区域均有站点门店，上班离家近，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送员，骑手，生鲜配送，水果配送，商超配送蔬菜面送，固定位置取货配送，上手简单，有老骑手带。"
乳化工,肇庆市凯捷科技有限公司,100-299人,广东省肇庆市高新区,大学专科,1年以下,5000-6500元/月,152****2410,肇庆市大旺高新区文德四街1号之一,全职,"1.按照生产计划完成当天的生产任务。
2.执行公司已认定的制造工艺流程、工艺参
数及产品标准。
3．认真做好各环节工艺执行并做好记录，对
现有生产技术进行必要的研究并提出改进建议。
4.完成领导交办的其它工作。"
化验员,肇庆市凯捷科技有限公司,100-299人,广东省肇庆市高新区,大学专科,1-3年,4500-5500元/月,152****2410,肇庆市大旺高新区文德四街1号之一,全职,"1．每日对所生产的产品分批进行感官、理化、微生物检测；对检测完成后的物品进行清洗及现场的整理。
2．每日汇总各项检测结果，出具检测报告；负责产品检验异常的跟进确认；对需特检的产品进行检验并及时反馈信息，出具检测报告；有异常情况及时上报。
3. 做好原辅料、半产品、成品的留样工作，对留样进行查看、记录、反馈，并定期销毁过保质期样品。
4.负责化验各类记录的归档、储存、标识、销毁。
5. 每月对所用试剂、一起进行盘点、登记，并根据困存量提报申购需求。
6. 对检测所用仪器、设备进行日常维护和保养，建立台账及时报检。
7. 积极完成上级领导安排的工作，同时做好与相关部门的工作协助。"
人事行政助理,汕头保税区松田电子科技有限公司,500-999人,广东省汕头市濠江区,大学专科,1年以下,4000-5500元/月,,汕头保税区松田科技园东园、西园,全职,"1.大专及以上学历；
2.熟练操作各种办公软件；
3.有责任心，具有良好的敬业精神；
4.负责公司人力行政部相关工作
3.有安全生产和环保管理相关工作经验优先；
6.其他上级领导交代的工作任务。"
电子材料工程师,汕头保税区松田电子科技有限公司,500-999人,广东省汕头市濠江区,大学本科,1年以下,8000-13000元/月,,汕头保税区松田科技园东园、西园,全职,"岗位职责：
1、熟悉元器件的相关特性，擅长元器件使用过程中的失效分析；
2、原有材料的性能检验和强度改进；
3、配合团队进行新材料的研发。
岗位要求:
1、本科及以上学历，材料类、化工类、电子类及相关专业；2、熟悉各种元器件的使用以及特性要求；
3、刻苦钻研精神、创新能力强，专业知识扎实。
福利待遇："
业务员,汕头保税区松田电子科技有限公司,500-999人,广东省汕头市濠江区,大学专科,1年以下,5000-15000元/月,,汕头保税区松田科技园东园、西园,全职,"岗位职责与要求：
1、喜欢挑战，有较强目标感和进取心；
2、对营销、业务推广有较强的兴趣，具有较好的沟通表达能力；
3、性格外向，喜欢对外沟通，有吃苦耐劳精神；
4、有较强责任心，有较好的客户服务意识，有较强的抗压能力。
5、可外派到一线、二线城市办事处驻点。"
、电子材料工程师,汕头保税区松田电子科技有限公司,500-999人,广东省汕头市濠江区,大学本科,1年以下,8000-13000元/月,,汕头保税区松田科技园东园、西园,全职,"岗位职责：
1、熟悉元器件的相关特性，擅长元器件使用过程中的失效分析；
2、原有材料的性能检验和强度改进；
3、配合团队进行新材料的研发。
岗位要求:
1、本科及以上学历，材料类、化工类、电子类及相关专业；2、熟悉各种元器件的使用以及特性要求；
3、刻苦钻研精神、创新能力强，专业知识扎实。
福利待遇："
儿童公园环境主管,深圳市中科信城市服务有限公司,49人及以下,广东省惠州市惠城区,大学专科,5-10年,7000-10000元/月,139****1020,金龙大道，海吉星物流园对面,全职,"•学历要求：大专及以上学历，环境工程、园林技术、物业管理（环境方向）等相关专业优先。
•工作经验：2 年及以上大型公园、景区、住宅小区或市政环境管理经验，有儿童场所或健身场馆环境管理经验者优先；具备绿化养护、清洁管理相关专业技能证书者优先。
•专业技能：熟悉环境卫生管理流程与标准，掌握绿化养护、清洁作业、病虫害防治等专业技术；了解环保相关法律法规，能合理选用环保清洁设备与药剂；具备一定的成本控制意识，能优化环境管理成本。
•综合素质：热爱环境管理工作，具有强烈的责任心与环保意识；工作认真细致，能吃苦耐劳，适应户外作业与节假日值班工作；具备良好的团队管理能力与沟通协调能力，能有效带领团队完成环境管理任务。"
儿童公园客服主管,深圳市中科信城市服务有限公司,49人及以下,广东省惠州市惠城区,大学专科,5-10年,7000-10000元/月,139****1020,金龙大道，海吉星物流园对面,全职,"•学历要求：大专及以上学历，行政管理、旅游管理、市场营销、社会工作等相关专业优先。
•工作经验：2 年及以上客服管理经验，有公园、游乐园、景区、大型商场等服务行业客服管理经验者优先；有儿童服务或全民健身相关领域客服经验者更佳。
•专业技能：熟悉客服工作流程与服务标准，具备良好的客户关系管理能力；能熟练使用客服管理系统、办公软件及通讯设备；具备基本的心理学知识，能更好地理解儿童及市民需求。
•综合素质：亲和力强，具有强烈的服务意识与责任心；性格开朗乐观，耐心细致，能承受一定的工作压力；具备良好的应变能力，能妥善处理各类客户投诉与突发服务事件。"
儿童公园安全主管,深圳市中科信城市服务有限公司,49人及以下,广东省惠州市惠城区,大学专科,5-10年,7000-10000元/月,139****1020,金龙大道，海吉星物流园对面,全职,"•学历要求：大专及以上学历，安全管理、治安管理、消防工程等相关专业优先；退伍军人学历可适当放宽。
•工作经验：3 年及以上大型公共场所（如公园、游乐园、商场、景区等）安全管理经验，有儿童场所或健身场馆安全管理经验者优先；持有消防设施操作员证、安全管理人员资格证等相关证书者优先。
•专业技能：熟悉国家及地方关于公共场所安全管理的法律法规、行业标准；掌握消防安全、治安防范、应急救援等专业知识与技能；能熟练使用监控系统、消防设备、通讯设备等安全管理工具。
•综合素质：具备强烈的安全责任意识与风险防范意识，工作认真负责，严谨细致；身体素质良好，反应敏捷，能适应 24 小时应急待命与节假日值班工作；具备良好的团队协作能力与沟通协调能力，能有效协调公安、消防等部门开展工作。"
工程主管,深圳市中科信城市服务有限公司,49人及以下,广东省惠州市惠城区,大学专科,5-10年,7000-10000元/月,139****1020,金龙大道，海吉星物流园对面,全职,"•学历要求：大专及以上学历，机械工程、电气工程、土木工程、设施管理等相关专业。
•工作经验：3 年及以上大型公园、游乐园、健身场馆等场所设施维护与工程管理经验，有儿童游乐设施或全民健身器材维护管理经验者优先；持有相关专业职业资格证书（如电工证、焊工证、特种设备管理员证等）者优先。
•专业技能：熟悉儿童游乐设施、全民健身器材及公园公共设施的维护保养流程与技术标准；具备一定的工程预算编制与成本控制能力；能熟练使用各类设施检测工具与维修设备。
•综合素质：工作严谨细致，责任心强，具备较强的动手能力与应急处理能力；具有良好的团队协作精神，能有效指导与带领工程团队开展工作；能适应户外作业与节假日值班工作。"
儿童公园项目经理,深圳市中科信城市服务有限公司,49人及以下,广东省惠州市惠城区,大学本科,5-10年,10000-15000元/月,139****1020,金龙大道，海吉星物流园对面,全职,"•学历要求：本科及以上学历，工商管理、旅游管理、公园管理等相关专业优先。
•工作经验：5 年及以上大型公园、游乐园或文旅项目运营管理经验，其中至少 2 年以上同岗位管理经验；有儿童主题公园或全民健身场所运营管理经验者优先，熟悉公园开园筹备工作流程者更佳。
•专业技能：熟悉公园运营管理相关法律法规、行业标准及规范；具备较强的数据分析能力，能通过运营数据优化管理策略；熟练使用 Office 办公软件及公园管理相关系统。
•综合素质：具有强烈的责任心与服务意识，热爱儿童事业与全民健身事业；具备较强的抗压能力，能适应公园节假日及开园初期高强度工作节奏；拥有良好的职业素养与道德品质。"
设备储备干部,广东佳成新能源有限公司,500-999人,广东省江门市江海区,大学专科,无工作经验要求,5000-8000元/月,137****1877,江门市江海区金瓯路383号3幢、5幢,全职,"1、大专以上学历，电气自动化或机械制造专业；
2、熟悉机械原理，以及传动设计知识；
3、熟练使用制图软件；
4、具备较强的沟通能力，逻辑思维能力、抗压性好，善于沟通，工作责任心强；"
技术储备干部,广东佳成新能源有限公司,500-999人,广东省江门市江海区,大学本科,无工作经验要求,5000-8000元/月,137****1877,江门市江海区金瓯路383号3幢、5幢,全职,"1、应用化学、电化学、质量管理类等专业；
2、具有吃苦耐劳的精神，有强 烈的上进心；
3、根据前期学习情况，将安排现场、工艺、品质岗。"
厨房杂工,惠州市惠城区翟仔老妈炖品店,49人及以下,广东省惠州市惠城区,无学历要求,无工作经验要求,面议,134****8788,惠州市惠新东街75号对面,全职,有经验优先，讲卫生。电话勿扰，有意者下午3点到店面试
厨师,惠州市惠城区翟仔老妈炖品店,49人及以下,广东省惠州市惠城区,无学历要求,无工作经验要求,面议,134****8788,惠州市惠新东街75号对面,全职,有经验优先，讲卫生。电话勿扰，有意者下午3点到店面试
服务员,惠州市惠城区翟仔老妈炖品店,49人及以下,广东省惠州市惠城区,无学历要求,无工作经验要求,面议,134****8788,惠州市惠新东街75号对面,全职,经验优先，讲卫生.电话勿扰，有意者下午3点到店面试。
中山东区-小象超市驻店配送员-包住+免费提供外卖电动车,海耀星途（广州）互联网科技有限公司,49人及以下,广东省中山市东区街道办事处,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省中山市东江路长宝羽毛球俱乐部斜对面,全职,"1.只送一个门店的订单，取货只在一个地方。
2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单。
3.全是顺路单，配送范围小，两公里内的社区骑手。
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全 工作地址广州-佛山-中山所有区域均有站点门店，上班离家近，可以就近安排。
其他福利
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送员，骑手，生鲜配送，水果配送，商超配送蔬菜面送，固定位置取货配送，上手简单，有老骑手带。"
中山石岐区 小象超市驻店配送员 包住+免费提供外卖电动车,海耀星途（广州）互联网科技有限公司,49人及以下,广东省中山市,无学历要求,无工作经验要求,9000-13000元/月,157****9989,广东省中山市石岐街道悦华街10号,全职,"1.只送一个门店的订单，取货只在一个地方。
2.配送的都是小件生活用品，都是打包好的，直接拿走不用等单。
3.全是顺路单，配送范围小，两公里内的社区骑手。
4.多劳多得，每天轻松80-120单
5.薪资福利待遇
日收入400-500周收入2500+
月收入工资9000-13000(上不封顶)综合补贴:底薪+全勤奖+高温补+话补+大额远程补贴+冲单奖等(800-1500元)每单配送费5元-8元单，日收入400元以上
6.门店提供电动车(换电方便，无限续航，无任何抵押)
7.提供住宿(4人间，干净卫生，洗澡空调洗衣机俱
全。
1，当天直接安排住宿、安排上岗2，没钱可预支工资
3.站长之前也是做骑手的，对人好，上升空间大配送员，骑手，生鲜配送，水果配送，商超配送蔬菜面送，固定位置取货配送，上手简单，有老骑手带。"
