代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
300972,万辰集团,75.71,2.57,1.90,-0.36,1.64,1.05,7.67,1.96亿,1.56亿,117.92亿,121.58
300595,欧普康视,19.16,2.57,0.48,0.00,4.39,4.29,7.71,5.76亿,6.68亿,128.08亿,24.66
002042,华孚时尚,5.20,2.56,0.13,0.00,6.55,1.20,9.66,5.76亿,17.01亿,88.44亿,138.83
300777,中简科技,28.63,2.54,0.71,-0.04,4.14,2.02,4.76,5.00亿,4.24亿,121.32亿,40.84
600028,中国石化,6.54,2.51,0.16,0.00,0.27,1.78,2.67,16.60亿,948.42亿,6202.66亿,13.48
600096,云天化,22.55,2.50,0.55,0.00,2.20,1.58,3.64,9.12亿,18.34亿,413.64亿,7.01
002595,豪迈科技,46.88,2.49,1.14,0.04,0.65,1.49,3.43,2.39亿,7.95亿,372.59亿,19.85
601117,中国化学,8.29,2.47,0.20,-0.12,1.39,2.05,3.71,7.02亿,60.70亿,503.17亿,9.90
002142,宁波银行,24.08,2.47,0.58,-0.08,0.67,1.60,3.66,10.52亿,65.24亿,1570.88亿,5.76
000157,中联重科,7.08,2.46,0.17,0.00,1.20,2.06,3.04,5.94亿,70.71亿,500.59亿,14.68
603236,移远通信,64.90,2.41,1.53,0.00,10.58,1.01,6.17,18.18亿,2.62亿,169.82亿,35.71
601328,交通银行,7.68,2.40,0.18,0.00,0.48,1.09,2.93,14.45亿,392.51亿,3014.47亿,6.23
600363,联创光电,47.79,2.40,1.12,0.06,3.86,1.15,5.53,8.40亿,4.55亿,217.55亿,48.64
600483,福能股份,10.25,2.40,0.24,-0.10,1.11,1.43,3.70,3.16亿,27.80亿,284.96亿,12.05
